real_time_iso8601,simulation_timestep_step,susceptible_agents_count,infected_agents_count,recovered_agents_count,vaccinated_agents_count,transmission_probability_fraction,vaccination_efficacy_fraction,vaccinated_fraction,effective_transmission_probability_fraction,transmission_probability_reduction_fraction,entity_count_agents,real_elapsed_seconds_s,runtime_mm_ss
2026-03-26T18:06:01,1000,498,2,0,0,0.02,0.5,0.0,0.02,0.0,500,0.365,00:00
2026-03-26T18:06:03,2000,445,55,0,0,0.02,0.5,0.0,0.02,0.0,500,2.136,00:02
2026-03-26T18:06:13,3000,96,404,0,0,0.02,0.5,0.0,0.02,0.0,500,11.971,00:11
2026-03-26T18:06:19,4000,8,491,1,0,0.02,0.5,0.0,0.02,0.0,500,18.203,00:18
2026-03-26T18:06:23,5000,0,498,2,0,0.02,0.5,0.0,0.02,0.0,500,21.968,00:21
2026-03-26T18:06:26,6000,0,445,55,0,0.02,0.5,0.0,0.02,0.0,500,25.49,00:25
2026-03-26T18:06:29,7000,0,96,404,0,0.02,0.5,0.0,0.02,0.0,500,27.816,00:27
2026-03-26T18:06:29,8000,0,8,492,0,0.02,0.5,0.0,0.02,0.0,500,28.357,00:28
2026-03-26T18:06:29,9000,0,0,500,0,0.02,0.5,0.0,0.02,0.0,500,28.644,00:28
2026-03-26T18:06:30,10000,0,0,500,0,0.02,0.5,0.0,0.02,0.0,500,28.927,00:28
